Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,,,,8.44416323089565,1.05555580601371,11.1752702171385,5.55413764253301,13.7402049675717,3.61136840986602,21.0206487192376,8.43329048304375,6.11368518168933,14.3854879486214
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,7.30000000000008,6.99999999999991,2.90000000000003,5.69999999999997,5.90000000000006,5.49999999999984,5.00000000000007,5.89999999999999,7.70000000000005,3.3,3.49999999999953,3.0000000000008,1.5999999999994
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,2.20000070353935,4.6125237416927,5.59999999999985,7.19999999999985,4.29999999999995,5.90000000000018,1.69999999999983,3.40000000000005,2.00000000000016,1.69999999999983,3.60000000000014,2.60000000000007,3.29999999999981
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,,,,,,,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,ADO,1.16578706437775,11.7702727457044,5.87430230796974,6.75438545079321,6.48481011604645,5.91786270004999,6.78993514743939,1.42807150014271,3.57073718591123,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,3.01207617494627,4.22096514833892,13.8217925229741,5.24756962039727,10.8794650533716,18.2615484949481,20.7350198031014,22.5931061136704,13.8170989632508,2.41291161489347,3.40764362803219,3.91856683044671,6.83062368791421
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,5.0998985536273,-3.12002432244765,2.89502415170976,6.58421988084375,4.91260096379915,6.11488290230864,13.5379415131773,9.62853129059731,0.0298331772381886,-12.2976662608457,-7.73804803856885,-2.99779251253972,2.84724730439908
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-0.788998922157376,-4.40883969762805,-10.894484819891,8.83704078344473,9.02957332195959,9.17895021699024,8.46606271178115,8.65333684642083,6.75843941952496,0.850241475756562,9.16091692451589,8.86955390713085,1.89957810935846
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,5.89999999999978,9.55664149553445,13.186300532067,14.0407950559649,10.4678418639969,13.8657112514854,13.1980035141409,13.7492019583839,6.90000000000003,-14.1499886386168,2.19999999999996,4.69999999999986,7.19186578100725
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,-0.364695778713454,-2.16445940890385,0.465289865491144,7.51947237328494,1.17669048367502,0.380390971382511,2.35511944298051,-3.65462624193272,-6.88130206359888,-5.65350208612952,,,
